<BEGIN>;;;;;;
<Buses>;;;;;;
ID;Name;Reference bus;Base voltage (kV);Area;Subsystem market - Name;Subsystem market - ID
384;OPRET2-MG500;;500;2;SUDESTE/CENTRO-OESTE;1
385;OPRETO-MG345;;345;2;SUDESTE/CENTRO-OESTE;1
386;OPRET2-MG138;;138;3;SUDESTE/CENTRO-OESTE;1
387;OPRET1-MG000;;1.1;2;SUDESTE/CENTRO-OESTE;1
388;OPRET2-MG000;;1.1;2;SUDESTE/CENTRO-OESTE;1
389;OPRET2CER013;;1.2;2;SUDESTE/CENTRO-OESTE;1
390;SGOTAR-MG500;;500;2;SUDESTE/CENTRO-OESTE;1
391;SGOTA2-MG345;;345;2;SUDESTE/CENTRO-OESTE;1
392;UBERL1PCH138;;138;3;SUDESTE/CENTRO-OESTE;1
393;SGOTA2-MG000;;1.1;2;SUDESTE/CENTRO-OESTE;1
394;VALADA-MG230;;230;2;SUDESTE/CENTRO-OESTE;1
395;SGOTA1-MG013;;13.8;2;SUDESTE/CENTRO-OESTE;1
396;VGRAND-MG345;;345;2;SUDESTE/CENTRO-OESTE;1
397;SGOTA2-MG013;;13.8;2;SUDESTE/CENTRO-OESTE;1
398;VPALMA-MG345;;345;2;SUDESTE/CENTRO-OESTE;1
399;VPALM-PCH138;;138;3;SUDESTE/CENTRO-OESTE;1
