<BEGIN>;;;;;;;;;;;;;;;;;;;
<Hydro plants>;;;;;;;;;;;;;;;;;;;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Maximum spillage - HPF;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in the bypass process (h);Downriver reservoir of pump units;Upriver reservoir of pump units;Water travel time in pumping (h);Comments
154;SANTO ANTÔNIO JARI;104.61;133.39;0;0;TRUE;29.1;30;9593;Jari;Yes;9593;0;0;0;0;0;0;
155;SINOP;1012.4;3071.2;COLÍDER;6;FALSE;292;302;3000;Teles Pires;Yes;3000;0;0;0;0;0;0;
156;COLÍDER;1427.48;1525;TELES PIRES;108;TRUE;272;272;4000;Teles Pires;Yes;4000;0;0;0;0;0;0;
157;SÃO MANOEL;490.27;570.08;0;0;TRUE;161;161;5000;Teles Pires;Yes;5000;0;0;0;0;0;0;
158;CURUÁ-UNA;130.6;602;0;0;TRUE;25.22;32.22;5000;Coruá-Una;Yes;5000;0;0;0;0;0;0;
159;CACHOEIRA CALDEIRÃO;230.56;230.56;COARACY NUNES;2;TRUE;58.3;58.3;5000;Araguari;Yes;5000;0;0;0;0;0;0;
160;COARACY NUNES;24.57;138.8;FERREIRA GOMES;2;TRUE;35.14;42.14;7000;Araguari;No;7000;0;0;0;0;0;0;
161;FERREIRA GOMES;120.4;137.31;0;0;TRUE;21.3;21.3;7551;Araguari;No;7551;0;0;0;0;0;0;
162;FONTES BC;36;38;PEREIRA PASSOS;0;TRUE;399;399;5000;Paraíba do Sul;No;5000;0;0;0;0;0;0;
</Hydro plants>;;;;;;;;;;;;;;;;;;;
<Thermal plants>;;;;;;;;;;;;;;;;;;;
ID;Name;Minimum power output (MW);Maximum power output (MW);Unitary linear cost ($/MW);Ramp-up limit (MW/h);Ramp-down limit (MW/h);Minimum up-time (h);Minimum down-time (h);Bus id;Constant cost ($);Start-up cost ($);Shut-down cost ($);Comments;;;;;;
0;PAMPA SUL;140;345;180;60;60;24;24;998;0;0;0;Aggregation bus manually chosen;;;;;;
1;CANDIOTA 3;175;350;82.08;210;210;168;168;1173;0;0;0;;;;;;;
2;P. PECEM-unit1;240;360;160.22;60;60;168;48;5658;0;0;0;;;;;;;
3;P. PECEM-unit2;240;360;160.22;60;60;168;48;5658;0;0;0;;;;;;;
4;P.ITAQUI;240;360.1;165.13;80;80;168;48;5609;0;0;0;;;;;;;
5;PECEM 2;240;365;170.5;84;84;168;48;5659;0;0;0;;;;;;;
6;J.LACERDA-C-unit7;180;363;193.62;150;150;168;80;913;0;0;0;;;;;;;
7;J.LACERDA-B-unit5;80;131;228.12;120;120;168;80;911;0;0;0;;;;;;;
8;J.LACERDA-B-unit6;80;131;228.12;120;120;168;80;911;0;0;0;;;;;;;
9;J.LACERDA-A1-unit1;35;50;254.97;60;60;168;80;907;0;0;0;;;;;;;
10;J.LACERDA-A1-unit2;35;50;254.97;60;60;168;80;907;0;0;0;;;;;;;
11;J.LACERDA-A2-unit3;33;66;254.97;60;60;168;80;909;0;0;0;;;;;;;
12;J.LACERDA-A2-unit4;33;66;254.97;60;60;168;80;909;0;0;0;;;;;;;
13;ARAUCARIA-unit1;117;161.5;350;180;180;72;43;803;0;0;0;;;;;;;
14;ARAUCARIA-unit2;117;161.5;350;180;180;72;43;802;0;0;0;;;;;;;
15;ARAUCARIA-unit3;117;161.5;350;180;180;72;43;802;0;0;0;;;;;;;
16;CUBATAO-unit1;90;161;300;60;60;72;48;9100;0;0;0;;;;;;;
17;CUBATAO-unit2;35;48;300;60;60;72;48;9101;0;0;0;;;;;;;
18;SEROPEDICA-unit1;35;45;100;106;106;4;6;3974;0;0;0;;;;;;;
19;SEROPEDICA-unit2;35;45;100;106;106;4;6;3974;0;0;0;;;;;;;
20;SEROPEDICA-unit3;35;45;100;106;106;4;6;3974;0;0;0;;;;;;;
21;SEROPEDICA-unit4;35;45;100;106;106;4;6;3974;0;0;0;;;;;;;
22;SEROPEDICA-unit5;35;45;100;106;106;4;6;3974;0;0;0;;;;;;;
23;SEROPEDICA-unit6;35;45;100;106;106;4;6;3974;0;0;0;;;;;;;
24;SEROPEDICA-unit7;35;45;100;106;106;4;6;3974;0;0;0;;;;;;;
